iter	Logloss
0	0.681012318411	0.668216949222	0.655251831633	0.6434793383
4	0.6330427457
5	0.6266009856	0.6143334508
7	0.6023435542
8	8	0.6034291609	0.5873811946
1010	0.5846710651111	0.5776095631212	0.5690507013	13	0.5660740754
14	0.562575015	015	0.5561722711
16	0.548202714
17	0.5412146243
18	0.5342556526
19	0.5312277374
20	0.5249294018
21	0.5212135683
22	0.5140313512
23	0.5087636865
24	0.5034562662
25	0.4991395767
26	0.4934911197
27	0.4926678352
28	0.4879065357
29	0.4809340293
30	0.4756620553
31	0.4703994052
32	0.4641950606
33	0.460713034	034	0.4576491368
35	0.4521710303
36	0.4467930302
37	0.4440319687
38	0.4398793906
39	0.4371675455
40	0.4309270665
41	0.4277933298
42	0.425347243	0.3959592257
44	044	0.4155987121
45	0.4130300395
46	0.4084650231
47	0.4032205484
48	0.3962160358
49	0.3904301678
50	0.3853631248
51	0.3794458711
52	0.3754689135
53	0.3724671842
54	0.3645219335
55	0.3600460678
56	0.3584947215
57	0.3550486203
58	0.3511842478
59	0.3483755676
60	0.34532123
61	0.3422129395
62	0.3389489191
63	0.3365475705
64	0.3355296129
65	0.3313019932
66	0.3259676088
67	0.322830519
68	0.3193358011
69	0.3142569585
70	0.3109992059
71	0.308728181
72	0.3051369795
73	0.3027082412
74	0.2988627729
75	0.2965124497
76	0.2938587929
77	0.2912877164
78	0.2902256275
79	0.2877438765
80	0.2850678561
81	0.2793432653
82	0.2766382554
83	0.2743423224
84	0.2720318041
85	0.271272839
86	0.2672054214
87	0.2656814956
88	0.2619779112
89	0.2591056107
90	0.2576626414
91	0.2550123135
92	0.250928264
93	0.2485504621
94	0.2469318855
95	0.2438209787
96	0.2420628435
97	0.2389977947
98	0.2358025192
99	0.233605287
100	0.230275505
101	0.2300016751
102	0.2279678726
103	0.2245934139
104	0.2230199915
105	0.221268123
106	0.2211921215
107	0.2188540322
108	0.2161340097
109	0.2138826316
110	0.2111417618
111	0.2088949582
112	0.2063972267
113	0.2036911839
114	0.2033149053
115	0.2009777567
116	0.1988938449
117	0.1960825956
118	0.1940802345
119	0.1916886921
120	0.1898920487
121	0.1877032295
122	0.1856341987
123	0.1834014382
124	0.1818391884
125	0.1805060705
126	0.178499616
127	0.1772461442
128	0.1762531804
129	0.1744024749
130	0.1726743867
131	0.1713506653
132	0.1695661996
133	0.1680027099
134	0.1664799693
135	0.1640113378
136	0.1627708714
137	0.1611315405
138	0.1599281959
139	0.1581167737
140	0.1567905664
141	0.1553491073
142	0.1543729475
143	0.1528997653
144	0.1515414523
145	0.1505864019
146	0.1494016612
147	0.1482739306
148	0.1464602246
149	0.1444972695
150	0.1436163071
151	0.1423973653
152	0.1400249924
153	0.1387953571
154	0.1378406429
155	0.1371020324
156	0.1363447619
157	0.1348124979
158	0.1343755267
159	0.1335898611
160	0.1323657581
161	0.1315688444
162	0.1312617796
163	0.1303916839
164	0.1291711634
165	0.1280672148
166	0.1265669619
167	0.1247274523
168	0.123850739
169	0.1230529466
170	0.1218023809
171	0.1204708667
172	0.1188960964
173	0.1175467111
174	0.1164274542
175	0.115665584
176	0.1153615222
177	0.1143149182
178	0.1134632411
179	0.1121411547
180	0.1113093949
181	0.1099559823
182	0.1091027836
183	0.1086437104
184	0.1076607476
185	0.106113624
186	0.105313389
187	0.104797474
188	0.1038644318
189	0.1037815059
190	0.1028590649
191	0.1020493668
192	0.1011967851
193	0.100598529
194	0.1001348112
195	0.09957821092
196	0.0984893881
197	0.09781478362
198	0.09683310182
199	0.09618407287
